track_name,artist_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Suicide Saturday,Hippo Campus,4OgTZ8MgYI8xYMcajRzBef,0.443,0.719,5,-5.555,1,0.033,0.0225,0.0,0.227,0.559,155.895,audio_features,4OgTZ8MgYI8xYMcajRzBef,spotify:track:4OgTZ8MgYI8xYMcajRzBef,https://api.spotify.com/v1/tracks/4OgTZ8MgYI8xYMcajRzBef,https://api.spotify.com/v1/audio-analysis/4OgTZ8MgYI8xYMcajRzBef,212885,4
The English Summer,The Wombats,0gHuPY8J5CKx4AOMiJLVWs,0.266,0.956,6,-5.231,1,0.282,0.000304,4.14e-06,0.39,0.3,164.305,audio_features,0gHuPY8J5CKx4AOMiJLVWs,spotify:track:0gHuPY8J5CKx4AOMiJLVWs,https://api.spotify.com/v1/tracks/0gHuPY8J5CKx4AOMiJLVWs,https://api.spotify.com/v1/audio-analysis/0gHuPY8J5CKx4AOMiJLVWs,156707,4
A Little Opus,Little Comets,3GXsirqLMMlrgetGhG8VFK,0.59,0.905,1,-7.106,0,0.0391,0.0813,6.26e-06,0.283,0.947,152.021,audio_features,3GXsirqLMMlrgetGhG8VFK,spotify:track:3GXsirqLMMlrgetGhG8VFK,https://api.spotify.com/v1/tracks/3GXsirqLMMlrgetGhG8VFK,https://api.spotify.com/v1/audio-analysis/3GXsirqLMMlrgetGhG8VFK,229360,4
Oxygen,Catfish and the Bottlemen,1kDc700KN1jUerY6t09FNm,0.47,0.841,1,-4.646,0,0.0329,4.44e-06,0.00187,0.178,0.284,125.427,audio_features,1kDc700KN1jUerY6t09FNm,spotify:track:1kDc700KN1jUerY6t09FNm,https://api.spotify.com/v1/tracks/1kDc700KN1jUerY6t09FNm,https://api.spotify.com/v1/audio-analysis/1kDc700KN1jUerY6t09FNm,169867,4
Henrietta,The Fratellis,4kiMvD7yPec5viFrCQDiYK,0.608,0.955,6,-3.361,0,0.0779,0.0212,0.0,0.133,0.879,122.447,audio_features,4kiMvD7yPec5viFrCQDiYK,spotify:track:4kiMvD7yPec5viFrCQDiYK,https://api.spotify.com/v1/tracks/4kiMvD7yPec5viFrCQDiYK,https://api.spotify.com/v1/audio-analysis/4kiMvD7yPec5viFrCQDiYK,211627,4
Elephant,Tame Impala,6HqWcIutC3Bwk6awM1jnGP,0.594,0.555,9,-6.689,0,0.0377,0.541,0.151,0.286,0.52,123.069,audio_features,6HqWcIutC3Bwk6awM1jnGP,spotify:track:6HqWcIutC3Bwk6awM1jnGP,https://api.spotify.com/v1/tracks/6HqWcIutC3Bwk6awM1jnGP,https://api.spotify.com/v1/audio-analysis/6HqWcIutC3Bwk6awM1jnGP,211227,4
Young Chasers,Circa Waves,04tmckN8VN6pIBMwqYXNns,0.321,0.945,4,-4.67,1,0.0566,0.000151,0.00541,0.465,0.317,184.014,audio_features,04tmckN8VN6pIBMwqYXNns,spotify:track:04tmckN8VN6pIBMwqYXNns,https://api.spotify.com/v1/tracks/04tmckN8VN6pIBMwqYXNns,https://api.spotify.com/v1/audio-analysis/04tmckN8VN6pIBMwqYXNns,129640,4
Glasgow,Catfish and the Bottlemen,28VT0090inPlN6bfxoVdmB,0.622,0.316,2,-14.387,1,0.0495,0.883,3.38e-05,0.1,0.723,139.334,audio_features,28VT0090inPlN6bfxoVdmB,spotify:track:28VT0090inPlN6bfxoVdmB,https://api.spotify.com/v1/tracks/28VT0090inPlN6bfxoVdmB,https://api.spotify.com/v1/audio-analysis/28VT0090inPlN6bfxoVdmB,157000,3
Lavender,Two Door Cinema Club,5CzcvW0EmosapUCOqkPKix,0.833,0.455,2,-6.026,0,0.0699,0.0572,0.00095,0.0491,0.887,96.025,audio_features,5CzcvW0EmosapUCOqkPKix,spotify:track:5CzcvW0EmosapUCOqkPKix,https://api.spotify.com/v1/tracks/5CzcvW0EmosapUCOqkPKix,https://api.spotify.com/v1/audio-analysis/5CzcvW0EmosapUCOqkPKix,235893,4
Always Like This,Bombay Bicycle Club,73M2Vb5MfZh8iGKudkMtlw,0.659,0.591,1,-6.713,1,0.0313,0.441,0.000861,0.0862,0.707,121.14,audio_features,73M2Vb5MfZh8iGKudkMtlw,spotify:track:73M2Vb5MfZh8iGKudkMtlw,https://api.spotify.com/v1/tracks/73M2Vb5MfZh8iGKudkMtlw,https://api.spotify.com/v1/audio-analysis/73M2Vb5MfZh8iGKudkMtlw,245640,4
Robbers,The 1975,06cCziAHtDg6pcsidZHu03,0.621,0.702,4,-6.845,1,0.0295,0.000332,1.49e-05,0.322,0.374,99.808,audio_features,06cCziAHtDg6pcsidZHu03,spotify:track:06cCziAHtDg6pcsidZHu03,https://api.spotify.com/v1/tracks/06cCziAHtDg6pcsidZHu03,https://api.spotify.com/v1/audio-analysis/06cCziAHtDg6pcsidZHu03,254510,4
Green Light,Lorde,0gbBzIqrECJOEPvQJIBFs5,0.616,0.714,9,-7.792,1,0.0982,0.0162,1.23e-05,0.0817,0.24,128.924,audio_features,0gbBzIqrECJOEPvQJIBFs5,spotify:track:0gbBzIqrECJOEPvQJIBFs5,https://api.spotify.com/v1/tracks/0gbBzIqrECJOEPvQJIBFs5,https://api.spotify.com/v1/audio-analysis/0gbBzIqrECJOEPvQJIBFs5,234653,4
Homemade Dynamite,Lorde,12o6dxWGk29uIAP3OWY0pM,0.762,0.437,10,-5.581,1,0.0568,0.252,2.86e-06,0.0901,0.217,106.965,audio_features,12o6dxWGk29uIAP3OWY0pM,spotify:track:12o6dxWGk29uIAP3OWY0pM,https://api.spotify.com/v1/tracks/12o6dxWGk29uIAP3OWY0pM,https://api.spotify.com/v1/audio-analysis/12o6dxWGk29uIAP3OWY0pM,189796,4
The Louvre,Lorde,5r011NB07RHjABbuVGVIbd,0.654,0.389,0,-10.053,1,0.0481,0.261,0.0116,0.0891,0.132,123.151,audio_features,5r011NB07RHjABbuVGVIbd,spotify:track:5r011NB07RHjABbuVGVIbd,https://api.spotify.com/v1/tracks/5r011NB07RHjABbuVGVIbd,https://api.spotify.com/v1/audio-analysis/5r011NB07RHjABbuVGVIbd,271088,4
Liability,Lorde,0or0gNaKAXYYCsOrpvRzAu,0.534,0.218,10,-11.16,0,0.111,0.923,0.0,0.0944,0.345,76.715,audio_features,0or0gNaKAXYYCsOrpvRzAu,spotify:track:0or0gNaKAXYYCsOrpvRzAu,https://api.spotify.com/v1/tracks/0or0gNaKAXYYCsOrpvRzAu,https://api.spotify.com/v1/audio-analysis/0or0gNaKAXYYCsOrpvRzAu,171728,4
Sober II (Melodrama),Lorde,1wdPrRDiKhZkHiu6jTstPc,0.362,0.327,11,-11.86,1,0.0512,0.158,8.61e-06,0.0678,0.114,112.999,audio_features,1wdPrRDiKhZkHiu6jTstPc,spotify:track:1wdPrRDiKhZkHiu6jTstPc,https://api.spotify.com/v1/tracks/1wdPrRDiKhZkHiu6jTstPc,https://api.spotify.com/v1/audio-analysis/1wdPrRDiKhZkHiu6jTstPc,178639,4
