danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,clusters,track_name,artist_name,song_id,type,id,uri,track_href,analysis_url
0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,201000,4,4,Play Hard (feat. Ne-Yo & Akon),David Guetta,0BBZuOGGBj9u4X3rAfmae8,audio_features,0BBZuOGGBj9u4X3rAfmae8,spotify:track:0BBZuOGGBj9u4X3rAfmae8,https://api.spotify.com/v1/tracks/0BBZuOGGBj9u4X3rAfmae8,https://api.spotify.com/v1/audio-analysis/0BBZuOGGBj9u4X3rAfmae8
0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,229507,4,7,Feel This Moment (feat. Christina Aguilera),Pitbull,1obZSxOoO12yWkwY1kY72N,audio_features,1obZSxOoO12yWkwY1kY72N,spotify:track:1obZSxOoO12yWkwY1kY72N,https://api.spotify.com/v1/tracks/1obZSxOoO12yWkwY1kY72N,https://api.spotify.com/v1/audio-analysis/1obZSxOoO12yWkwY1kY72N
0.5,0.892,2,-4.714,0,0.0433,0.00445,0.000422,0.0969,0.233,126.019,239894,4,3,Love Me Again,John Newman,1a1r5s7ivXUVQQrIvo5VSs,audio_features,1a1r5s7ivXUVQQrIvo5VSs,spotify:track:1a1r5s7ivXUVQQrIvo5VSs,https://api.spotify.com/v1/tracks/1a1r5s7ivXUVQQrIvo5VSs,https://api.spotify.com/v1/audio-analysis/1a1r5s7ivXUVQQrIvo5VSs
0.763,0.653,5,-5.05,0,0.149,0.00876,5.46e-06,0.0854,0.477,130.025,240907,4,4,A Little Party Never Killed Nobody (All We Got),Various Artists,1mz9ZrRYu3EPVg9ZHFtjjf,audio_features,1mz9ZrRYu3EPVg9ZHFtjjf,spotify:track:1mz9ZrRYu3EPVg9ZHFtjjf,https://api.spotify.com/v1/tracks/1mz9ZrRYu3EPVg9ZHFtjjf,https://api.spotify.com/v1/audio-analysis/1mz9ZrRYu3EPVg9ZHFtjjf
0.75,0.756,1,-4.45,1,0.0426,0.0187,0.00125,0.196,0.6,127.992,215227,4,7,We Found Love,Rihanna,1gYMxXXGANfGIGXDFf9Czv,audio_features,1gYMxXXGANfGIGXDFf9Czv,spotify:track:1gYMxXXGANfGIGXDFf9Czv,https://api.spotify.com/v1/tracks/1gYMxXXGANfGIGXDFf9Czv,https://api.spotify.com/v1/audio-analysis/1gYMxXXGANfGIGXDFf9Czv
0.682,0.714,9,-6.306,1,0.0399,0.074,0.0,0.278,0.581,127.443,214148,4,7,Pompeii,Bastille,0sooJd5WbNnnz5k6yO7FIQ,audio_features,0sooJd5WbNnnz5k6yO7FIQ,spotify:track:0sooJd5WbNnnz5k6yO7FIQ,https://api.spotify.com/v1/tracks/0sooJd5WbNnnz5k6yO7FIQ,https://api.spotify.com/v1/audio-analysis/0sooJd5WbNnnz5k6yO7FIQ
0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4,4,Die Young,Kesha,6mnjcTmK8TewHfyOp3fC9C,audio_features,6mnjcTmK8TewHfyOp3fC9C,spotify:track:6mnjcTmK8TewHfyOp3fC9C,https://api.spotify.com/v1/tracks/6mnjcTmK8TewHfyOp3fC9C,https://api.spotify.com/v1/audio-analysis/6mnjcTmK8TewHfyOp3fC9C
0.488,0.538,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.037,205600,4,7,Hymn,Kesha,0wJJhRgdHhT93Z3iWdMB0T,audio_features,0wJJhRgdHhT93Z3iWdMB0T,spotify:track:0wJJhRgdHhT93Z3iWdMB0T,https://api.spotify.com/v1/tracks/0wJJhRgdHhT93Z3iWdMB0T,https://api.spotify.com/v1/audio-analysis/0wJJhRgdHhT93Z3iWdMB0T
0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,231212,4,7,Burn,Ellie Goulding,2GgxS8bUT5G25QJTsfSv0R,audio_features,2GgxS8bUT5G25QJTsfSv0R,spotify:track:2GgxS8bUT5G25QJTsfSv0R,https://api.spotify.com/v1/tracks/2GgxS8bUT5G25QJTsfSv0R,https://api.spotify.com/v1/audio-analysis/2GgxS8bUT5G25QJTsfSv0R
0.673,0.853,1,-6.451,1,0.038,0.00171,0.724,0.39,0.0382,128.015,303827,4,1,Animals - Extended,Martin Garrix,28GieRAflAHypFfEimSaxa,audio_features,28GieRAflAHypFfEimSaxa,spotify:track:28GieRAflAHypFfEimSaxa,https://api.spotify.com/v1/tracks/28GieRAflAHypFfEimSaxa,https://api.spotify.com/v1/audio-analysis/28GieRAflAHypFfEimSaxa
0.653,0.822,0,-4.857,1,0.033,0.00021,0.0047,0.0838,0.762,117.949,192790,5,7,Safe And Sound,Capital Cities,6BnONjR7itGMEqwxKTIlRM,audio_features,6BnONjR7itGMEqwxKTIlRM,spotify:track:6BnONjR7itGMEqwxKTIlRM,https://api.spotify.com/v1/tracks/6BnONjR7itGMEqwxKTIlRM,https://api.spotify.com/v1/audio-analysis/6BnONjR7itGMEqwxKTIlRM
0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,199904,4,1,Levels - Radio Edit,Avicii,0JhKJg5ejeQ8jq89UQtnw8,audio_features,0JhKJg5ejeQ8jq89UQtnw8,spotify:track:0JhKJg5ejeQ8jq89UQtnw8,https://api.spotify.com/v1/tracks/0JhKJg5ejeQ8jq89UQtnw8,https://api.spotify.com/v1/audio-analysis/0JhKJg5ejeQ8jq89UQtnw8
0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,4,4,Titanium (feat. Sia),David Guetta,0TDLuuLlV54CkRRUOahJb4,audio_features,0TDLuuLlV54CkRRUOahJb4,spotify:track:0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4
0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,4,7,Rather Be (feat. Jess Glynne),Jess Glynne,5HuqzFfq2ulY1iBAW5CxLe,audio_features,5HuqzFfq2ulY1iBAW5CxLe,spotify:track:5HuqzFfq2ulY1iBAW5CxLe,https://api.spotify.com/v1/tracks/5HuqzFfq2ulY1iBAW5CxLe,https://api.spotify.com/v1/audio-analysis/5HuqzFfq2ulY1iBAW5CxLe
0.712,0.957,0,-1.923,1,0.0793,0.00552,1.77e-06,0.103,0.703,128.039,187507,4,7,Hey Now (feat. Kyle) - Single Mix,Martin Solveig,4jay2G7QI61dlPd8qKy5BP,audio_features,4jay2G7QI61dlPd8qKy5BP,spotify:track:4jay2G7QI61dlPd8qKy5BP,https://api.spotify.com/v1/tracks/4jay2G7QI61dlPd8qKy5BP,https://api.spotify.com/v1/audio-analysis/4jay2G7QI61dlPd8qKy5BP
0.712,0.957,0,-1.923,1,0.0793,0.00552,1.77e-06,0.103,0.703,128.039,187507,4,7,Hey Now (feat. Kyle) - Single Mix,The Cataracs,4jay2G7QI61dlPd8qKy5BP,audio_features,4jay2G7QI61dlPd8qKy5BP,spotify:track:4jay2G7QI61dlPd8qKy5BP,https://api.spotify.com/v1/tracks/4jay2G7QI61dlPd8qKy5BP,https://api.spotify.com/v1/audio-analysis/4jay2G7QI61dlPd8qKy5BP
0.551,0.833,8,-5.217,1,0.03,0.0391,2.77e-06,0.0632,0.145,129.885,204360,5,3,This Is What It Feels Like,Armin van Buuren,5GjnIpUlLGEIYk052ISOw9,audio_features,5GjnIpUlLGEIYk052ISOw9,spotify:track:5GjnIpUlLGEIYk052ISOw9,https://api.spotify.com/v1/tracks/5GjnIpUlLGEIYk052ISOw9,https://api.spotify.com/v1/audio-analysis/5GjnIpUlLGEIYk052ISOw9
0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4,4,Treasure,Bruno Mars,55h7vJchibLdUkxdlX3fK7,audio_features,55h7vJchibLdUkxdlX3fK7,spotify:track:55h7vJchibLdUkxdlX3fK7,https://api.spotify.com/v1/tracks/55h7vJchibLdUkxdlX3fK7,https://api.spotify.com/v1/audio-analysis/55h7vJchibLdUkxdlX3fK7
0.692,0.865,8,-4.939,1,0.0548,0.385,0.0,0.106,0.62,124.987,234809,4,7,I Need Your Love,Ellie Goulding,1mATmqAUKqG57iWjGE1nRa,audio_features,1mATmqAUKqG57iWjGE1nRa,spotify:track:1mATmqAUKqG57iWjGE1nRa,https://api.spotify.com/v1/tracks/1mATmqAUKqG57iWjGE1nRa,https://api.spotify.com/v1/audio-analysis/1mATmqAUKqG57iWjGE1nRa
0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,127.923,226987,4,3,The Other Side,Jason Derulo,4ot2lykiAQeZC1GAnNQNJ4,audio_features,4ot2lykiAQeZC1GAnNQNJ4,spotify:track:4ot2lykiAQeZC1GAnNQNJ4,https://api.spotify.com/v1/tracks/4ot2lykiAQeZC1GAnNQNJ4,https://api.spotify.com/v1/audio-analysis/4ot2lykiAQeZC1GAnNQNJ4
0.6,0.905,1,-3.41,0,0.0357,0.00274,0.0,0.831,0.636,124.032,187027,4,0,All Night,Icona Pop,15iosIuxC3C53BgsM5Uggs,audio_features,15iosIuxC3C53BgsM5Uggs,spotify:track:15iosIuxC3C53BgsM5Uggs,https://api.spotify.com/v1/tracks/15iosIuxC3C53BgsM5Uggs,https://api.spotify.com/v1/audio-analysis/15iosIuxC3C53BgsM5Uggs
0.72,0.672,7,-6.852,1,0.0551,0.009,0.0,0.232,0.705,124.986,204640,4,7,Right Round,Flo Rida,3GpbwCm3YxiWDvy29Uo3vP,audio_features,3GpbwCm3YxiWDvy29Uo3vP,spotify:track:3GpbwCm3YxiWDvy29Uo3vP,https://api.spotify.com/v1/tracks/3GpbwCm3YxiWDvy29Uo3vP,https://api.spotify.com/v1/audio-analysis/3GpbwCm3YxiWDvy29Uo3vP
0.636,0.436,7,-9.524,1,0.139,0.112,0.0,0.135,0.331,84.804,190185,4,7,Royals,Lorde,3yvZ1VUso9Xi7EvIyLaj4o,audio_features,3yvZ1VUso9Xi7EvIyLaj4o,spotify:track:3yvZ1VUso9Xi7EvIyLaj4o,https://api.spotify.com/v1/tracks/3yvZ1VUso9Xi7EvIyLaj4o,https://api.spotify.com/v1/audio-analysis/3yvZ1VUso9Xi7EvIyLaj4o
0.696,0.896,0,-6.049,1,0.109,0.0834,0.0,0.038,0.887,130.091,199333,4,7,Danza Kuduro,Lucenzo,1Ozm60BmF5AUjqVSb9FJRC,audio_features,1Ozm60BmF5AUjqVSb9FJRC,spotify:track:1Ozm60BmF5AUjqVSb9FJRC,https://api.spotify.com/v1/tracks/1Ozm60BmF5AUjqVSb9FJRC,https://api.spotify.com/v1/audio-analysis/1Ozm60BmF5AUjqVSb9FJRC
0.705,0.897,2,-2.988,0,0.035,0.0783,3.24e-06,0.202,0.534,133.013,178280,4,4,She Makes Me Go - Radio Edit,Arash,1a5XzsdDDWR7HMwvmXtNlB,audio_features,1a5XzsdDDWR7HMwvmXtNlB,spotify:track:1a5XzsdDDWR7HMwvmXtNlB,https://api.spotify.com/v1/tracks/1a5XzsdDDWR7HMwvmXtNlB,https://api.spotify.com/v1/audio-analysis/1a5XzsdDDWR7HMwvmXtNlB
0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.009,193920,4,4,Problem,Ariana Grande,6xCNYRfzZtoQRo1xruPmNq,audio_features,6xCNYRfzZtoQRo1xruPmNq,spotify:track:6xCNYRfzZtoQRo1xruPmNq,https://api.spotify.com/v1/tracks/6xCNYRfzZtoQRo1xruPmNq,https://api.spotify.com/v1/audio-analysis/6xCNYRfzZtoQRo1xruPmNq
0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,212333,4,4,Applause,Lady Gaga,2Zj4FUsMtu9PMuJsHbGbdv,audio_features,2Zj4FUsMtu9PMuJsHbGbdv,spotify:track:2Zj4FUsMtu9PMuJsHbGbdv,https://api.spotify.com/v1/tracks/2Zj4FUsMtu9PMuJsHbGbdv,https://api.spotify.com/v1/audio-analysis/2Zj4FUsMtu9PMuJsHbGbdv
0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,212560,4,4,Sweet Nothing (feat. Florence Welch),Calvin Harris,24LS4lQShWyixJ0ZrJXfJ5,audio_features,24LS4lQShWyixJ0ZrJXfJ5,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,https://api.spotify.com/v1/tracks/24LS4lQShWyixJ0ZrJXfJ5,https://api.spotify.com/v1/audio-analysis/24LS4lQShWyixJ0ZrJXfJ5
0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4,7,Locked out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,audio_features,3w3y8KPTfNeOKPiqUTakBh,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh
0.492,0.857,7,-2.634,1,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,222500,4,3,She Wolf (Falling to Pieces) [feat. Sia],David Guetta,1SgdUjvppHnIp6L7DZSnwc,audio_features,1SgdUjvppHnIp6L7DZSnwc,spotify:track:1SgdUjvppHnIp6L7DZSnwc,https://api.spotify.com/v1/tracks/1SgdUjvppHnIp6L7DZSnwc,https://api.spotify.com/v1/audio-analysis/1SgdUjvppHnIp6L7DZSnwc
0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,4,7,I Love It (feat. Charli XCX),Icona Pop,1rhXXcrYp9RRObN5gsmqCU,audio_features,1rhXXcrYp9RRObN5gsmqCU,spotify:track:1rhXXcrYp9RRObN5gsmqCU,https://api.spotify.com/v1/tracks/1rhXXcrYp9RRObN5gsmqCU,https://api.spotify.com/v1/audio-analysis/1rhXXcrYp9RRObN5gsmqCU
0.762,0.863,0,-3.689,0,0.0565,0.015,0.0,0.125,0.965,106.008,185587,4,4,Troublemaker (feat. Flo Rida),Olly Murs,3raIDwS1IWxjBq48cE4E8h,audio_features,3raIDwS1IWxjBq48cE4E8h,spotify:track:3raIDwS1IWxjBq48cE4E8h,https://api.spotify.com/v1/tracks/3raIDwS1IWxjBq48cE4E8h,https://api.spotify.com/v1/audio-analysis/3raIDwS1IWxjBq48cE4E8h
0.725,0.937,11,-2.881,0,0.278,0.00425,0.0,0.0914,0.758,132.084,219493,4,5,Gangnam Style,PSY,1PKnaWkakd5CBjNv8NyaSK,audio_features,1PKnaWkakd5CBjNv8NyaSK,spotify:track:1PKnaWkakd5CBjNv8NyaSK,https://api.spotify.com/v1/tracks/1PKnaWkakd5CBjNv8NyaSK,https://api.spotify.com/v1/audio-analysis/1PKnaWkakd5CBjNv8NyaSK
0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089,252867,4,2,Let Her Go,Passenger,7DFNE7NO0raLIUbgzY2rzm,audio_features,7DFNE7NO0raLIUbgzY2rzm,spotify:track:7DFNE7NO0raLIUbgzY2rzm,https://api.spotify.com/v1/tracks/7DFNE7NO0raLIUbgzY2rzm,https://api.spotify.com/v1/audio-analysis/7DFNE7NO0raLIUbgzY2rzm
0.821,0.676,3,-6.366,0,0.0547,0.187,0.0001,0.0904,0.559,119.012,213187,4,4,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],Asaf Avidan & the Mojos,3gNNXc7GUgKRPR15W77eDR,audio_features,3gNNXc7GUgKRPR15W77eDR,spotify:track:3gNNXc7GUgKRPR15W77eDR,https://api.spotify.com/v1/tracks/3gNNXc7GUgKRPR15W77eDR,https://api.spotify.com/v1/audio-analysis/3gNNXc7GUgKRPR15W77eDR
0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4,7,Feel So Close - Radio Edit,Calvin Harris,1gihuPhrLraKYrJMAEONyc,audio_features,1gihuPhrLraKYrJMAEONyc,spotify:track:1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/audio-analysis/1gihuPhrLraKYrJMAEONyc
0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,257840,4,4,Counting Stars,OneRepublic,6sy3LkhNFjJWlaeSMNwQ62,audio_features,6sy3LkhNFjJWlaeSMNwQ62,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/tracks/6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62
0.801,0.985,7,-2.69,1,0.0645,0.0205,6.86e-06,0.296,0.722,127.99,166933,4,7,Get Up (Rattle) - Vocal Edit,Bingo Players,4W9KBjqf2lyUF6MdX0vsJm,audio_features,4W9KBjqf2lyUF6MdX0vsJm,spotify:track:4W9KBjqf2lyUF6MdX0vsJm,https://api.spotify.com/v1/tracks/4W9KBjqf2lyUF6MdX0vsJm,https://api.spotify.com/v1/audio-analysis/4W9KBjqf2lyUF6MdX0vsJm
0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4,2,When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,audio_features,0nJW01T7XtvILxQgC5J7Wh,spotify:track:0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/audio-analysis/0nJW01T7XtvILxQgC5J7Wh
0.742,0.706,0,-4.6,0,0.0433,0.0141,0.00568,0.133,0.478,128.03,230747,4,4,Crazy Kids,Kesha,2Qu4snHWjiF1bIIggf3R8i,audio_features,2Qu4snHWjiF1bIIggf3R8i,spotify:track:2Qu4snHWjiF1bIIggf3R8i,https://api.spotify.com/v1/tracks/2Qu4snHWjiF1bIIggf3R8i,https://api.spotify.com/v1/audio-analysis/2Qu4snHWjiF1bIIggf3R8i
0.722,0.844,10,-5.015,1,0.16,0.0138,0.0,0.166,0.563,125.038,203820,4,7,Bella Vita - DJ Antoine vs. Mad Mark 2K13 Radio Edit,DJ Antoine,6hp3KubrbcERP2g8ude9jR,audio_features,6hp3KubrbcERP2g8ude9jR,spotify:track:6hp3KubrbcERP2g8ude9jR,https://api.spotify.com/v1/tracks/6hp3KubrbcERP2g8ude9jR,https://api.spotify.com/v1/audio-analysis/6hp3KubrbcERP2g8ude9jR
0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4,3,Impossible,James Arthur,5yVIlYEHZxQVLyInCdldoS,audio_features,5yVIlYEHZxQVLyInCdldoS,spotify:track:5yVIlYEHZxQVLyInCdldoS,https://api.spotify.com/v1/tracks/5yVIlYEHZxQVLyInCdldoS,https://api.spotify.com/v1/audio-analysis/5yVIlYEHZxQVLyInCdldoS
0.958,0.539,1,-7.597,1,0.254,0.000723,0.744,0.134,0.211,128.0,258750,4,1,Trumpsta - Djuro Remix,Contiez,5la4dy8Tc1M6X6BanOHZ2H,audio_features,5la4dy8Tc1M6X6BanOHZ2H,spotify:track:5la4dy8Tc1M6X6BanOHZ2H,https://api.spotify.com/v1/tracks/5la4dy8Tc1M6X6BanOHZ2H,https://api.spotify.com/v1/audio-analysis/5la4dy8Tc1M6X6BanOHZ2H
0.958,0.539,1,-7.597,1,0.254,0.000723,0.744,0.134,0.211,128.0,258750,4,1,Trumpsta - Djuro Remix,Eeemus,5la4dy8Tc1M6X6BanOHZ2H,audio_features,5la4dy8Tc1M6X6BanOHZ2H,spotify:track:5la4dy8Tc1M6X6BanOHZ2H,https://api.spotify.com/v1/tracks/5la4dy8Tc1M6X6BanOHZ2H,https://api.spotify.com/v1/audio-analysis/5la4dy8Tc1M6X6BanOHZ2H
0.958,0.539,1,-7.597,1,0.254,0.000723,0.744,0.134,0.211,128.0,258750,4,1,Trumpsta - Djuro Remix,Treyy G,5la4dy8Tc1M6X6BanOHZ2H,audio_features,5la4dy8Tc1M6X6BanOHZ2H,spotify:track:5la4dy8Tc1M6X6BanOHZ2H,https://api.spotify.com/v1/tracks/5la4dy8Tc1M6X6BanOHZ2H,https://api.spotify.com/v1/audio-analysis/5la4dy8Tc1M6X6BanOHZ2H
0.514,0.828,11,-4.672,0,0.0454,0.00626,8.73e-06,0.119,0.34,124.008,206373,4,4,Dear Darlin',Olly Murs,0ZAqidNny4qh1RwM6LjOir,audio_features,0ZAqidNny4qh1RwM6LjOir,spotify:track:0ZAqidNny4qh1RwM6LjOir,https://api.spotify.com/v1/tracks/0ZAqidNny4qh1RwM6LjOir,https://api.spotify.com/v1/audio-analysis/0ZAqidNny4qh1RwM6LjOir
0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,217347,4,7,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,4bT2zLVv2T4GiK9q9KtI0v,audio_features,4bT2zLVv2T4GiK9q9KtI0v,spotify:track:4bT2zLVv2T4GiK9q9KtI0v,https://api.spotify.com/v1/tracks/4bT2zLVv2T4GiK9q9KtI0v,https://api.spotify.com/v1/audio-analysis/4bT2zLVv2T4GiK9q9KtI0v
0.672,0.889,11,-3.902,0,0.224,0.167,0.0,0.314,0.479,87.47,203547,4,4,Fire Fly,Childish Gambino,1Mx97utPpQdM4shyKXLfDp,audio_features,1Mx97utPpQdM4shyKXLfDp,spotify:track:1Mx97utPpQdM4shyKXLfDp,https://api.spotify.com/v1/tracks/1Mx97utPpQdM4shyKXLfDp,https://api.spotify.com/v1/audio-analysis/1Mx97utPpQdM4shyKXLfDp
0.612,0.934,5,-4.767,0,0.0417,0.0197,0.0,0.12,0.391,129.941,280961,4,4,It's Alright - The Guvnor Mix,East 17,3PMlBjVjaNHytufQltTaZr,audio_features,3PMlBjVjaNHytufQltTaZr,spotify:track:3PMlBjVjaNHytufQltTaZr,https://api.spotify.com/v1/tracks/3PMlBjVjaNHytufQltTaZr,https://api.spotify.com/v1/audio-analysis/3PMlBjVjaNHytufQltTaZr
0.332,0.822,0,-6.558,0,0.0988,0.165,9.33e-05,0.161,0.745,96.253,197320,4,4,My Generation - Original Mono Version,The Who,6UdCTwbVAvNqbWyZKZiRWL,audio_features,6UdCTwbVAvNqbWyZKZiRWL,spotify:track:6UdCTwbVAvNqbWyZKZiRWL,https://api.spotify.com/v1/tracks/6UdCTwbVAvNqbWyZKZiRWL,https://api.spotify.com/v1/audio-analysis/6UdCTwbVAvNqbWyZKZiRWL
